country,Number_Days_Vaccinating,total_vaccinations,people_vaccinated,people_fully_vaccinated,Promedio_daily_vaccinations_raw,Promedio_daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Lithuania,82,390085,272246,117839,4603.04878,4531.341463,14.33,10,4.33,2904,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Luxembourg,79,70339,52870,17469,657.6329114,774.0126582,11.24,8.45,2.79,3532,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Macao,34,27637,27637,0,485.4117647,746.4705882,4.26,4.26,0,1632,"Pfizer/BioNTech, Sinopharm/Beijing"
Malawi,2,9091,9091,0,1837,1837,0.05,0.05,0,192,Oxford/AstraZeneca
Malaysia,24,385126,384334,0,14994.75,13785.20833,1.19,1.19,0,597,"Pfizer/BioNTech, Sinovac"
Maldives,42,212711,0,0,5043.595238,4598.428571,39.35,0,0,14510,Oxford/AstraZeneca
Malta,61,138264,95707,42557,2074.737705,1951.180328,31.31,21.68,9.64,8090,Pfizer/BioNTech
Mauritius,24,3843,3843,0,0,135.4583333,0.3,0.3,0,178,Oxford/AstraZeneca
Mexico,86,5186751,0,0,59739.48837,53779.82558,4.02,0,0,1309,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V"
Moldova,15,18593,18593,0,557.4,831.9333333,0.46,0.46,0,328,Oxford/AstraZeneca
Monaco,65,15612,8449,7163,0,232.6153846,39.78,21.53,18.25,7492,Pfizer/BioNTech
Mongolia,26,189969,0,0,6641.884615,5237.076923,5.79,0,0,5337,Oxford/AstraZeneca
Montenegro,28,6849,6517,332,77.10714286,204.7857143,1.09,1.04,0.05,790,"Sinopharm/Beijing, Sputnik V"
Montserrat,31,932,892,40,0,32.32258065,18.64,17.84,0.8,3801,Oxford/AstraZeneca
Morocco,51,6611161,4258813,2352348,100328.3922,123628.9608,17.91,11.54,6.37,4710,"Oxford/AstraZeneca, Sinopharm/Beijing"
Mozambique,7,46439,46439,0,0,6634.285714,0.15,0.15,0,248,Sinopharm/Beijing
Myanmar,11,380000,380000,0,345.4545455,29042.81818,0.7,0.7,0,768,Oxford/AstraZeneca
