country,Number_Days_Vaccinating,Promedio_daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Scotland,96,22165.20833,41.51,37.82,3.69,7161,"Oxford/AstraZeneca, Pfizer/BioNTech"
Senegal,25,5758.36,0.89,0.89,0.0,504,Sinopharm/Beijing
Serbia,70,28824.77143,31.04,18.89,12.15,5978,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Seychelles,69,1318.115942,91.67,63.51,28.16,2969,"Oxford/AstraZeneca, Sinopharm/Beijing"
Singapore,64,11303.70313,13.54,9.39,4.16,4422,"Moderna, Pfizer/BioNTech"
Slovakia,75,9192.84,13.16,8.95,4.21,2672,Pfizer/BioNTech
Slovenia,82,3185.219512,13.4,8.63,4.77,2744,"Oxford/AstraZeneca, Pfizer/BioNTech"
South Africa,32,5200.21875,0.31,0.31,0.31,91,Johnson&Johnson
South Korea,23,28996.13043,1.32,1.32,0.0,256,"Oxford/AstraZeneca, Pfizer/BioNTech"
Spain,74,77555.40541,12.82,8.78,4.04,1957,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Sri Lanka,51,16579.58824,3.85,0.0,0.0,425,Oxford/AstraZeneca
Suriname,26,353.8461538,1.57,1.57,0.0,627,Oxford/AstraZeneca
Sweden,83,14530.506019999999,12.81,9.01,3.8,2829,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,53,17685.415090000002,13.6,8.6,4.99,2336,"Moderna, Pfizer/BioNTech"
Thailand,15,2702.666667,0.08,0.08,0.0,68,"Oxford/AstraZeneca, Sinovac"
Trinidad and Tobago,8,55.125,0.03,0.03,0.0,45,Oxford/AstraZeneca
Tunisia,8,803.375,0.06,0.06,0.0,83,Sputnik V
Turkey,66,189250.4242,15.23,9.49,5.73,3561,Sinovac
Turks and Caicos Islands,30,214.6,16.62,16.62,0.0,5734,Pfizer/BioNTech
Uganda,10,555.1,0.03,0.03,0.0,39,Oxford/AstraZeneca
Ukraine,24,3347.791667,0.24,0.24,0.0,186,Oxford/AstraZeneca
United Arab Emirates,74,81215.5,72.03,0.0,0.0,9551,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
United Kingdom,96,279238.4688,41.65,38.69,2.96,7397,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,90,1235862.5559999999,35.38,23.09,12.54,7341,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
Uruguay,21,12194.61905,8.57,8.57,0.0,4327,"Pfizer/BioNTech, Sinovac"
Venezuela,16,544.0,0.04,0.04,0.0,42,Sputnik V
Vietnam,13,1654.8461539999998,0.03,0.03,0.0,38,Oxford/AstraZeneca
Wales,96,14804.989580000001,48.31,38.19,10.12,10373,"Oxford/AstraZeneca, Pfizer/BioNTech"
Zimbabwe,30,1333.5,0.28,0.28,0.0,52,Sinopharm/Beijing
